IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.51.83,443,443,true,FRA,Europe,Frankfurt,199,4.88
34.65.85.165,443,443,true,FRA,Europe,Frankfurt,178,4.86
34.116.249.141,443,443,true,AMS,Europe,Amsterdam,190,4.81
34.65.181.48,443,443,true,FRA,Europe,Frankfurt,199,4.79
34.159.97.224,443,443,true,FRA,Europe,Frankfurt,201,4.77
34.147.81.162,443,443,true,FRA,Europe,Frankfurt,236,4.75
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,165,4.67
34.118.57.86,443,443,true,AMS,Europe,Amsterdam,272,4.66
34.154.198.233,443,443,true,FRA,Europe,Frankfurt,176,4.60
34.65.42.175,443,443,true,FRA,Europe,Frankfurt,249,4.59
34.159.190.252,443,443,true,FRA,Europe,Frankfurt,207,4.49
34.65.188.136,443,443,true,CDG,Europe,Paris,224,4.48
34.154.9.19,443,443,true,FRA,Europe,Frankfurt,226,4.47
34.65.244.35,443,443,true,FRA,Europe,Frankfurt,209,4.46
34.118.125.243,443,443,true,FRA,Europe,Frankfurt,258,4.46
34.91.57.107,443,443,true,AMS,Europe,Amsterdam,238,4.41
34.65.192.38,443,443,true,CDG,Europe,Paris,173,4.38
34.65.85.165,443,443,true,FRA,Europe,Frankfurt,233,4.32
34.116.225.214,443,443,true,FRA,Europe,Frankfurt,272,4.32
34.65.188.136,443,443,true,FRA,Europe,Frankfurt,263,4.30
34.118.58.201,443,443,true,AMS,Europe,Amsterdam,283,4.28
34.32.233.205,443,443,true,FRA,Europe,Frankfurt,225,4.27
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,230,4.24
34.65.41.157,443,443,true,FRA,Europe,Frankfurt,222,4.22
34.65.198.73,443,443,true,FRA,Europe,Frankfurt,223,4.20
34.65.137.19,443,443,true,FRA,Europe,Frankfurt,229,4.18
34.147.33.140,443,443,true,FRA,Europe,Frankfurt,253,4.16
34.118.3.82,443,443,true,FRA,Europe,Frankfurt,247,4.16
34.65.198.178,443,443,true,FRA,Europe,Frankfurt,183,4.15
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,157,4.13
34.65.85.165,443,443,true,FRA,Europe,Frankfurt,212,4.11
34.65.231.219,443,443,true,FRA,Europe,Frankfurt,194,4.11
34.65.244.35,443,443,true,FRA,Europe,Frankfurt,185,4.07
34.65.81.138,443,443,true,FRA,Europe,Frankfurt,242,4.03
34.32.206.100,443,443,true,FRA,Europe,Frankfurt,241,4.02
34.65.229.213,443,443,true,FRA,Europe,Frankfurt,255,4.02
34.65.51.83,443,443,true,AMS,Europe,Amsterdam,255,4.01
34.118.76.188,443,443,true,FRA,Europe,Frankfurt,204,3.98
34.118.27.151,443,443,true,FRA,Europe,Frankfurt,175,3.97
34.89.234.44,443,443,true,FRA,Europe,Frankfurt,215,3.97
34.65.12.30,443,443,true,FRA,Europe,Frankfurt,248,3.96
34.65.188.136,443,443,true,FRA,Europe,Frankfurt,194,3.96
34.118.76.188,443,443,true,FRA,Europe,Frankfurt,240,3.93
35.234.108.185,443,443,true,FRA,Europe,Frankfurt,168,3.92
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,237,3.92
34.65.12.30,443,443,true,FRA,Europe,Frankfurt,195,3.89
34.65.2.201,443,443,true,AMS,Europe,Amsterdam,238,3.88
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,165,3.88
34.118.61.66,443,443,true,FRA,Europe,Frankfurt,173,3.87
34.147.62.213,443,443,true,FRA,Europe,Frankfurt,239,3.86
34.65.253.167,443,443,true,FRA,Europe,Frankfurt,236,3.85
34.90.3.83,443,443,true,FRA,Europe,Frankfurt,210,3.77
34.89.241.45,443,443,true,AMS,Europe,Amsterdam,157,3.72
34.154.145.67,443,443,true,FRA,Europe,Frankfurt,228,3.70
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,172,3.68
34.147.81.162,443,443,true,FRA,Europe,Frankfurt,235,3.67
34.116.252.45,443,443,true,FRA,Europe,Frankfurt,182,3.62
34.65.58.16,443,443,true,FRA,Europe,Frankfurt,176,3.62
34.116.145.53,443,443,true,FRA,Europe,Frankfurt,248,3.62
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,215,3.57
34.118.77.33,443,443,true,FRA,Europe,Frankfurt,218,3.53
34.141.245.109,443,443,true,FRA,Europe,Frankfurt,163,3.51
34.65.229.213,443,443,true,FRA,Europe,Frankfurt,231,3.50
34.118.52.219,443,443,true,FRA,Europe,Frankfurt,244,3.36
34.65.192.38,443,443,true,FRA,Europe,Frankfurt,214,3.31
34.65.226.145,443,443,true,FRA,Europe,Frankfurt,204,3.26
34.65.236.103,443,443,true,FRA,Europe,Frankfurt,233,3.25
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,224,3.24
34.141.26.28,443,443,true,FRA,Europe,Frankfurt,224,3.22
34.65.238.78,443,443,true,FRA,Europe,Frankfurt,216,3.17
34.89.241.21,443,443,true,FRA,Europe,Frankfurt,229,3.11
34.118.62.132,443,443,true,FRA,Europe,Frankfurt,219,3.06
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,177,3.06
34.65.80.181,443,443,true,FRA,Europe,Frankfurt,200,3.02
34.65.185.49,443,443,true,FRA,Europe,Frankfurt,212,3.00
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,183,2.99
