IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.112.247,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.30
141.147.191.132,2053,2053,true,NRT,Asia Pacific,Tokyo,82,11.29
131.186.34.11,8080,8080,false,NRT,Asia Pacific,Tokyo,90,11.29
132.145.112.168,2087,2087,true,NRT,Asia Pacific,Tokyo,134,11.29
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,199,11.28
158.101.177.19,443,443,true,FRA,Europe,Frankfurt,193,11.28
143.47.176.6,443,443,true,FRA,Europe,Frankfurt,217,11.28
140.238.36.216,2096,2096,true,NRT,Asia Pacific,Tokyo,151,11.28
131.186.63.184,2053,2053,true,NRT,Asia Pacific,Tokyo,123,11.27
130.61.68.94,443,443,true,FRA,Europe,Frankfurt,176,11.26
158.101.155.158,80,80,false,NRT,Asia Pacific,Tokyo,68,11.26
158.101.137.96,80,80,false,NRT,Asia Pacific,Tokyo,69,11.26
168.138.202.169,8080,8080,false,NRT,Asia Pacific,Tokyo,73,11.25
141.147.0.36,443,443,true,AMS,Europe,Amsterdam,168,11.25
158.101.131.218,8880,8880,false,NRT,Asia Pacific,Tokyo,91,11.25
131.186.41.82,80,80,false,NRT,Asia Pacific,Tokyo,67,11.25
132.145.120.182,2082,2082,false,NRT,Asia Pacific,Tokyo,81,11.25
168.138.198.202,8880,8880,false,NRT,Asia Pacific,Tokyo,70,11.25
158.101.142.103,8443,8443,true,NRT,Asia Pacific,Tokyo,100,11.25
139.185.34.131,443,443,true,CDG,Europe,Paris,94,11.24
132.145.120.182,2086,2086,false,NRT,Asia Pacific,Tokyo,74,11.24
158.101.137.74,2053,2053,true,NRT,Asia Pacific,Tokyo,88,11.24
132.145.125.165,2095,2095,false,NRT,Asia Pacific,Tokyo,84,11.24
140.238.61.224,2082,2082,false,NRT,Asia Pacific,Tokyo,69,11.24
131.186.39.42,2095,2095,false,NRT,Asia Pacific,Tokyo,69,11.23
140.238.52.81,8080,8080,false,NRT,Asia Pacific,Tokyo,76,11.23
168.138.205.195,2083,2083,true,NRT,Asia Pacific,Tokyo,123,11.23
131.186.62.26,2053,2053,true,NRT,Asia Pacific,Tokyo,110,11.23
151.145.65.203,2095,2095,false,NRT,Asia Pacific,Tokyo,97,11.23
132.145.120.115,8880,8880,false,NRT,Asia Pacific,Tokyo,70,11.22
168.138.197.222,2087,2087,true,NRT,Asia Pacific,Tokyo,141,11.22
140.238.36.216,2086,2086,false,NRT,Asia Pacific,Tokyo,75,11.22
140.238.33.94,2095,2095,false,NRT,Asia Pacific,Tokyo,79,11.22
130.162.62.28,443,443,true,FRA,Europe,Frankfurt,165,11.21
131.186.39.42,2052,2052,false,NRT,Asia Pacific,Tokyo,70,11.21
168.138.212.40,2096,2096,true,NRT,Asia Pacific,Tokyo,133,11.20
132.145.126.204,8443,8443,true,NRT,Asia Pacific,Tokyo,87,11.20
132.145.115.17,2053,2053,true,NRT,Asia Pacific,Tokyo,132,11.19
132.145.125.165,2053,2053,true,NRT,Asia Pacific,Tokyo,71,11.18
141.148.237.55,443,443,true,FRA,Europe,Frankfurt,246,11.18
138.3.218.160,80,80,false,NRT,Asia Pacific,Tokyo,73,11.18
140.238.40.136,8880,8880,false,NRT,Asia Pacific,Tokyo,88,11.17
140.238.39.21,2082,2082,false,NRT,Asia Pacific,Tokyo,76,11.17
158.101.139.42,80,80,false,NRT,Asia Pacific,Tokyo,68,11.16
158.101.155.246,2052,2052,false,NRT,Asia Pacific,Tokyo,82,11.16
151.145.71.127,8880,8880,false,NRT,Asia Pacific,Tokyo,72,11.16
158.101.69.144,2095,2095,false,NRT,Asia Pacific,Tokyo,81,11.15
140.238.50.32,8080,8080,false,NRT,Asia Pacific,Tokyo,71,11.15
158.101.65.24,2082,2082,false,NRT,Asia Pacific,Tokyo,77,11.15
131.186.63.35,8880,8880,false,NRT,Asia Pacific,Tokyo,80,11.14
141.147.60.97,443,443,true,FRA,Europe,Frankfurt,191,11.14
158.101.140.154,2086,2086,false,NRT,Asia Pacific,Tokyo,74,11.14
158.101.140.252,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.14
140.238.36.248,2083,2083,true,NRT,Asia Pacific,Tokyo,91,11.13
138.3.223.70,2086,2086,false,NRT,Asia Pacific,Tokyo,71,11.13
140.238.46.138,2095,2095,false,NRT,Asia Pacific,Tokyo,76,11.13
132.145.115.17,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.13
141.147.100.196,443,443,true,FRA,Europe,Frankfurt,190,11.13
158.101.95.113,2086,2086,false,NRT,Asia Pacific,Tokyo,69,11.13
158.101.69.12,2083,2083,true,NRT,Asia Pacific,Tokyo,110,11.12
144.24.168.25,443,443,true,FRA,Europe,Frankfurt,187,11.12
158.101.143.49,8443,8443,true,NRT,Asia Pacific,Tokyo,87,11.11
132.145.114.250,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.11
158.101.150.74,2053,2053,true,NRT,Asia Pacific,Tokyo,116,11.10
140.238.44.118,2052,2052,false,NRT,Asia Pacific,Tokyo,80,11.10
140.238.39.21,2052,2052,false,NRT,Asia Pacific,Tokyo,71,11.10
140.238.39.33,8880,8880,false,NRT,Asia Pacific,Tokyo,77,11.09
141.147.10.247,443,443,true,FRA,Europe,Frankfurt,188,11.09
158.101.149.52,2082,2082,false,NRT,Asia Pacific,Tokyo,73,11.08
158.179.206.143,443,443,true,ARN,Europe,Stockholm,211,11.08
158.101.69.144,2082,2082,false,NRT,Asia Pacific,Tokyo,83,11.08
140.238.35.78,2096,2096,true,NRT,Asia Pacific,Tokyo,134,11.08
144.21.53.236,443,443,true,FRA,Europe,Frankfurt,168,11.08
158.101.143.49,8080,8080,false,NRT,Asia Pacific,Tokyo,74,11.07
140.238.52.81,2053,2053,true,NRT,Asia Pacific,Tokyo,105,11.07
131.186.37.49,8443,8443,true,NRT,Asia Pacific,Tokyo,133,11.07
131.186.37.191,8880,8880,false,NRT,Asia Pacific,Tokyo,81,11.07
140.238.32.238,2096,2096,true,NRT,Asia Pacific,Tokyo,69,11.06
141.147.168.13,2083,2083,true,NRT,Asia Pacific,Tokyo,69,11.06
168.138.195.31,2086,2086,false,NRT,Asia Pacific,Tokyo,85,11.06
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,192,11.06
84.8.153.77,443,443,true,EWR,North America,Newark,217,11.06
138.3.214.43,2095,2095,false,NRT,Asia Pacific,Tokyo,99,11.06
